
===========================
RUN AT 12/2/2025 5:49:09 PM
===========================

--- SMALL NUMBER RUN ---

Karatsuba sequential: 1.16 ms
Karatsuba parallel:   1.12 ms

Big-number polynomial size: 120
Naive sequential:     5.05 ms
Naive parallel:       3.49 ms
Karatsuba sequential: 3.20 ms
Karatsuba parallel:   3.29 ms

Big-number polynomial size: 300
Naive sequential:     28.09 ms
Naive parallel:       14.30 ms
Karatsuba sequential: 22.93 ms
Karatsuba parallel:   15.86 ms

Big-number polynomial size: 1000
Naive sequential:     176.05 ms
Naive parallel:       66.97 ms
Karatsuba sequential: 66.70 ms
Karatsuba parallel:   29.15 ms

